	e8.5	e8.5	e8.5	e8.5	e8.5	e8.5
FUBP1_MOUSE.H11MO.0.D	4.838641814280287e-3	4.838641814280287e-3	4.838641814280287e-3	4.838641814280287e-3	4.838641814280287e-3	4.838641814280287e-3
GABPA_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0	0.0
GATA1_MOUSE.H11MO.0.A	8.415029242226924e-4	8.415029242226924e-4	8.415029242226924e-4	8.415029242226924e-4	8.415029242226924e-4	8.415029242226924e-4
GATA1_MOUSE.H11MO.1.A	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4
GATA2_MOUSE.H11MO.0.A	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4
GATA3_MOUSE.H11MO.0.A	7.994277780115633e-4	7.994277780115633e-4	7.994277780115633e-4	7.994277780115633e-4	7.994277780115633e-4	7.994277780115633e-4
GATA4_MOUSE.H11MO.0.A	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4	4.2075146211129066e-4
GATA5_MOUSE.H11MO.0.D	5.511844153658463e-3	5.511844153658463e-3	5.511844153658463e-3	5.511844153658463e-3	5.511844153658463e-3	5.511844153658463e-3
GATA6_MOUSE.H11MO.0.A	2.524508772667744e-4	2.524508772667744e-4	2.524508772667744e-4	2.524508772667744e-4	2.524508772667744e-4	2.524508772667744e-4
GCM1_MOUSE.H11MO.0.D	4.6703412294357705e-3	4.6703412294357705e-3	4.6703412294357705e-3	4.6703412294357705e-3	4.6703412294357705e-3	4.6703412294357705e-3
GCR_MOUSE.H11MO.0.A	1.4305549711784993e-3	1.4305549711784993e-3	1.4305549711784993e-3	1.4305549711784993e-3	1.4305549711784993e-3	1.4305549711784993e-3
GCR_MOUSE.H11MO.1.A	7.994277780115633e-4	7.994277780115633e-4	7.994277780115633e-4	7.994277780115633e-4	7.994277780115633e-4	7.994277780115633e-4
GFI1_MOUSE.H11MO.0.C	2.398283334034579e-3	2.398283334034579e-3	2.398283334034579e-3	2.398283334034579e-3	2.398283334034579e-3	2.398283334034579e-3
GFI1B_MOUSE.H11MO.0.A	1.4726301173896283e-3	1.4726301173896283e-3	1.4726301173896283e-3	1.4726301173896283e-3	1.4726301173896283e-3	1.4726301173896283e-3
GLI1_MOUSE.H11MO.0.C	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4
GLI2_MOUSE.H11MO.0.D	2.3730382463079014e-2	2.3730382463079014e-2	2.3730382463079014e-2	2.3730382463079014e-2	2.3730382463079014e-2	2.3730382463079014e-2
GLI3_MOUSE.H11MO.0.D	5.469769007446779e-4	5.469769007446779e-4	5.469769007446779e-4	5.469769007446779e-4	5.469769007446779e-4	5.469769007446779e-4
GLIS3_MOUSE.H11MO.0.D	5.553919299869592e-3	5.553919299869592e-3	5.553919299869592e-3	5.553919299869592e-3	5.553919299869592e-3	5.553919299869592e-3
GRHL2_MOUSE.H11MO.0.A	8.835780704338214e-4	8.835780704338214e-4	8.835780704338214e-4	8.835780704338214e-4	8.835780704338214e-4	8.835780704338214e-4
HAND1_MOUSE.H11MO.0.C	2.524508772667744e-4	2.524508772667744e-4	2.524508772667744e-4	2.524508772667744e-4	2.524508772667744e-4	2.524508772667744e-4
HAND1_MOUSE.H11MO.1.C	0.0	0.0	0.0	0.0	0.0	0.0
HBP1_MOUSE.H11MO.0.D	5.764295030925237e-3	5.764295030925237e-3	5.764295030925237e-3	5.764295030925237e-3	5.764295030925237e-3	5.764295030925237e-3
HEN1_MOUSE.H11MO.0.C	1.6830058484451627e-4	1.6830058484451627e-4	1.6830058484451627e-4	1.6830058484451627e-4	1.6830058484451627e-4	1.6830058484451627e-4
HES1_MOUSE.H11MO.0.D	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4
HESX1_MOUSE.H11MO.0.D	3.5763874279463037e-3	3.5763874279463037e-3	3.5763874279463037e-3	3.5763874279463037e-3	3.5763874279463037e-3	3.5763874279463037e-3
HEY2_MOUSE.H11MO.0.D	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4	2.1037573105564533e-4
HIC1_MOUSE.H11MO.0.C	2.524508772667966e-3	2.524508772667966e-3	2.524508772667966e-3	2.524508772667966e-3	2.524508772667966e-3	2.524508772667966e-3
HIF1A_MOUSE.H11MO.0.C	3.702612866579691e-3	3.702612866579691e-3	3.702612866579691e-3	3.702612866579691e-3	3.702612866579691e-3	3.702612866579691e-3
HINFP_MOUSE.H11MO.0.C	7.868052341481913e-3	7.868052341481913e-3	7.868052341481913e-3	7.868052341481913e-3	7.868052341481913e-3	7.868052341481913e-3
HLF_MOUSE.H11MO.0.C	5.427693861236205e-3	5.427693861236205e-3	5.427693861236205e-3	5.427693861236205e-3	5.427693861236205e-3	5.427693861236205e-3
HLTF_MOUSE.H11MO.0.D	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4
